age,male,female
0-4,337082467,319557714
5-9,351715561,331015496
10-14,346898098,325046485
15-19,328189555,307629576
20-24,313191215,294184526
25-29,304421477,287497451
30-34,308206126,294461443
35-39,293650660,283742580
40-44,264954566,258134000
45-49,238892693,235655907
50-54,230886182,231469447
55-59,204396487,210274344
60-64,162559789,173807303
65-69,135678685,152556237
70-74,99662458,119189625
75-79,61653088,78620257
80-84,36107650,52173305
85-89,17564615,30311032
90-94,5956267,12939489
95-99,1189572,3510425
100+,130480,547105
